Symbol,Security,GICS_Sector,GICS_Sub-Industry,Date_added,Founded
MMM,3M,Industrials,Industrial Conglomerates,1957,1902
AOS,A. O. Smith,Industrials,Building Products,2017,1916
ABT,Abbott,Health Care,Health Care Equipment,1957,1888
ABBV,AbbVie,Health Care,Pharmaceuticals,2012,2013
ACN,Accenture,Information Technology,IT Consulting & Other Services,2011,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015,2008
ADM,ADM,Consumer Staples,Agricultural Products,1957,1902
ADBE,Adobe Inc.,Information Technology,Application Software,1997,1982
ADP,ADP,Information Technology,Data Processing & Outsourced Services,1981,1949
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015,1932
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1998,1981
AFL,Aflac,Financials,Life & Health Insurance,1999,1955
A,Agilent Technologies,Health Care,Health Care Equipment,2000,1999
APD,Air Products and Chemicals,Materials,Industrial Gases,1985,1940
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,2007,1998
ALK,Alaska Air Group,Industrials,Airlines,2016,1985
ALB,Albemarle Corporation,Materials,Specialty Chemicals,2016,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017,1994
ALGN,Align Technology,Health Care,Health Care Supplies,2017,1997
ALLE,Allegion,Industrials,Building Products,2013,1908
LNT,Alliant Energy,Utilities,Electric Utilities,2016,1917
ALL,Allstate,Financials,Property & Casualty Insurance,1995,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2014,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2006,1998
MO,Altria,Consumer Staples,Tobacco,1957,1985
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,2005,1994
AMCR,Amcor,Materials,Paper Packaging,2019,2019
AMD,AMD,Information Technology,Semiconductors,2017,1969
AEE,Ameren,Utilities,Multi-Utilities,1991,1902
AAL,American Airlines Group,Industrials,Airlines,2015,1934
AEP,American Electric Power,Utilities,Electric Utilities,1957,1906
AXP,American Express,Financials,Consumer Finance,1976,1850
AIG,American International Group,Financials,Property & Casualty Insurance,1980,1919
AMT,American Tower,Real Estate,Specialized REITs,2007,1995
AWK,American Water Works,Utilities,Water Utilities,2016,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005,1894
ABC,AmerisourceBergen,Health Care,Health Care Distributors,2001,1985
AME,Ametek,Industrials,Electrical Components & Equipment,2013,1930
AMGN,Amgen,Health Care,Biotechnology,1992,1980
APH,Amphenol,Information Technology,Electronic Components,2008,1932
ADI,Analog Devices,Information Technology,Semiconductors,1999,1965
ANSS,Ansys,Information Technology,Application Software,2017,1969
AON,Aon,Financials,Insurance Brokers,1996,1919
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997,1954
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982,1977
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1995,1967
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,2012,1994
ACGL,Arch Capital Group,Financials,Reinsurance,2022,1995
ANET,Arista Networks,Information Technology,Communications Equipment,2018,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016,1927
AIZ,Assurant,Financials,Multi-line Insurance,2007,1892
T,AT&T,Communication Services,Integrated Telecommunication Services,1983,1983
ATO,Atmos Energy,Utilities,Gas Utilities,2019,1906
ADSK,Autodesk,Information Technology,Application Software,1989,1982
AZO,AutoZone,Consumer Discretionary,Specialty Stores,1997,1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,2007,1978
AVY,Avery Dennison,Materials,Paper Packaging,1987,1990
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017,2017
BALL,Ball Corporation,Materials,Metal & Glass Containers,1984,1880
BAC,Bank of America,Financials,Diversified Banks,1976,1874
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,1983,1963
BAX,Baxter International,Health Care,Health Care Equipment,1972,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972,1897
WRB,Berkley,Financials,Property & Casualty Insurance,2019,1967
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010,1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999,1966
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,2020,1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021,1976
BIIB,Biogen,Health Care,Biotechnology,2003,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011,1988
BK,BNY Mellon,Financials,Asset Management & Custody Banks,1995,1784
BA,Boeing,Industrials,Aerospace & Defense,1957,1916
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2009,1996
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011,1880
BXP,Boston Properties,Real Estate,Office REITs,2006,1970
BSX,Boston Scientific,Health Care,Health Care Equipment,1995,1979
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1957,1887
AVGO,Broadcom Inc.,Information Technology,Semiconductors,2014,1961
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,2018,1962
BRO,Brown & Brown,Financials,Insurance Brokers,2021,1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982,1870
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2007,1905
CDNS,Cadence Design Systems,Information Technology,Application Software,2017,1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,2021,1973
CPT,Camden Property Trust,Real Estate,Residential REITs,2022,1981
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,1957,1869
COF,Capital One,Financials,Consumer Finance,1998,1994
CAH,Cardinal Health,Health Care,Health Care Distributors,1997,1971
KMX,CarMax,Consumer Discretionary,Automotive Retail,2010,1993
