Symbol,Security,GICS_Sub_Industry,Date_added,Founded,Years_existing,Years_added,Years_until_added
AMD,AMD,Semiconductors,2017,1969,54,6,48
ADI,Analog Devices,Semiconductors,1999,1965,58,24,34
AVGO,Broadcom Inc.,Semiconductors,2014,1961,62,9,53
FSLR,First Solar,Semiconductors,2022,1999,24,1,23
INTC,Intel,Semiconductors,1976,1968,55,47,8
MCHP,Microchip Technology,Semiconductors,2007,1989,34,16,18
MU,Micron Technology,Semiconductors,1994,1978,45,29,16
MPWR,Monolithic Power Systems,Semiconductors,2021,1997,26,2,24
NVDA,Nvidia,Semiconductors,2001,1993,30,22,8
NXPI,NXP Semiconductors,Semiconductors,2021,1953,70,2,68
ON,ON Semiconductor,Semiconductors,2022,1999,24,1,23
QRVO,Qorvo,Semiconductors,2015,2015,8,8,0
QCOM,Qualcomm,Semiconductors,1999,1985,38,24,14
SWKS,Skyworks Solutions,Semiconductors,2015,2002,21,8,13
TXN,Texas Instruments,Semiconductors,1985,1930,93,38,55
